ID,PredictedProb
0,0.63
1,0.99
2,0.97
7,0.95
10,1
11,0.89
13,1
14,0.77
15,0.97
16,0.97
17,0.9
18,0.98
19,0.96
20,0.97
25,0.97
26,1
29,0.94
38,0.98
41,1
44,0.86
45,0.56
47,0.94
48,0.96
49,1
50,0.97
53,0.87
56,0.57
59,0.97
60,0.92
64,0.99
65,1
66,0.96
68,0.97
69,0.93
70,0.99
71,0.99
72,0.98
76,0.99
80,0.97
82,0.95
83,0.96
85,0.96
86,0.97
87,0.97
89,0.87
97,0.96
99,0.96
101,0.97
102,0.62
103,0.94
104,0.97
106,0.97
107,0.94
109,0.95
111,0.57
113,0.96
114,0.66
118,0.99
119,0.98
120,0.96
123,1
128,0.6
129,0.95
131,0.96
133,0.97
134,0.99
136,0.97
137,1
139,0.95
140,0.96
142,0.99
144,0.99
146,0.99
147,0.96
148,0.97
150,0.69
151,0.44
152,0.98
155,1
158,0.98
159,0.99
160,0.95
161,0.92
165,0.97
166,0.67
170,0.98
171,0.94
174,0.98
175,0.95
179,0.98
180,1
181,0.96
184,0.93
185,0.7
187,0.97
188,1
190,0.98
191,0.99
192,0.96
193,0.98
196,0.99
197,0.91
198,0.83
205,0.5
211,1
213,0.97
214,0.95
217,0.67
218,0.95
221,0.97
222,0.9
225,0.98
229,0.94
236,0.98
237,1
238,0.96
239,0.97
242,0.95
245,0.99
246,0.98
247,0.97
248,0.99
254,1
255,0.93
257,0.98
259,0.99
264,0.97
270,0.94
272,0.97
274,0.64
275,0.66
278,0.96
280,0.63
281,0.58
282,0.6
283,0.97
284,0.98
286,0.99
287,1
288,0.95
289,0.96
290,0.95
291,0.97
294,0.98
295,0.82
297,0.85
299,0.89
305,0.99
307,0.85
308,0.92
313,0.96
314,0.93
315,0.98
316,0.99
317,0.98
319,0.86
322,0.95
323,0.97
324,0.94
326,0.96
327,0.97
329,1
330,0.73
331,0.78
336,0.77
337,0.65
338,0.98
340,0.97
345,0.72
347,0.99
348,0.98
350,0.97
352,0.9
356,0.98
357,0.98
358,0.99
359,0.98
361,1
363,0.88
364,0.96
368,0.97
