"ID","PredictedProb"
0,0.484
1,0.74
2,0.614
7,0.528
10,0.624
11,0.618
13,0.762
14,0.496
15,0.808
16,0.658
17,0.57
18,0.69
19,0.616
20,0.754
25,0.732
26,0.658
29,0.59
38,0.72
41,0.724
44,0.582
45,0.458
47,0.604
48,0.68
49,0.642
50,0.738
53,0.638
56,0.408
59,0.8
60,0.576
64,0.632
65,0.854
66,0.632
68,0.756
69,0.568
70,0.718
71,0.722
72,0.64
76,0.688
80,0.612
82,0.636
83,0.818
85,0.652
86,0.768
87,0.646
89,0.55
97,0.652
99,0.642
101,0.618
102,0.34
103,0.514
104,0.538
106,0.774
107,0.542
109,0.714
111,0.43
113,0.652
114,0.42
118,0.796
119,0.576
120,0.704
123,0.614
128,0.446
129,0.666
131,0.65
133,0.594
134,0.67
136,0.756
137,0.582
139,0.662
140,0.706
142,0.622
144,0.648
146,0.78
147,0.59
148,0.712
150,0.484
151,0.386
152,0.846
155,0.828
158,0.72
159,0.594
160,0.866
161,0.684
165,0.794
166,0.484
170,0.73
171,0.706
174,0.616
175,0.694
179,0.628
180,0.716
181,0.734
184,0.596
185,0.518
187,0.672
188,0.768
190,0.642
191,0.686
192,0.536
193,0.812
196,0.706
197,0.49
198,0.492
205,0.356
211,0.714
213,0.6
214,0.67
217,0.518
218,0.748
221,0.66
222,0.59
225,0.722
229,0.576
236,0.562
237,0.646
238,0.654
239,0.768
242,0.624
245,0.704
246,0.7
247,0.674
248,0.864
254,0.652
255,0.644
257,0.842
259,0.65
264,0.778
270,0.636
272,0.734
274,0.5
275,0.486
278,0.666
280,0.41
281,0.378
282,0.384
283,0.812
284,0.866
286,0.714
287,0.756
288,0.786
289,0.642
290,0.516
291,0.582
294,0.702
295,0.538
297,0.55
299,0.658
305,0.732
307,0.508
308,0.584
313,0.568
314,0.638
315,0.68
316,0.698
317,0.706
319,0.57
322,0.666
323,0.702
324,0.622
326,0.754
327,0.562
329,0.85
330,0.468
331,0.544
336,0.51
337,0.474
338,0.788
340,0.774
345,0.494
347,0.77
348,0.794
350,0.852
352,0.604
356,0.744
357,0.734
358,0.788
359,0.774
361,0.682
363,0.5
364,0.678
368,0.762
376,0.81
378,0.618
382,0.698
384,0.558
385,0.808
388,0.462
389,0.87
391,0.574
392,0.652
395,0.736
396,0.81
397,0.71
399,0.622
404,0.762
407,0.462
409,0.686
410,0.67
413,0.604
414,0.532
416,0.726
418,0.63
419,0.676
420,0.776
422,0.794
423,0.662
427,0.524
429,0.908
